taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
5971;2016.12.01 15:30;2460;12,8;33,5;4;bankkártya
6863;2016.12.28 21:00;720;1,9;9,5;0;készpénz
5636;2016.12.16 0:30;660;0;8;1;bankkártya
4924;2016.12.31 11:00;180;0,7;5;0;készpénz
7643;2016.12.30 17:00;240;0;5;0;készpénz
3410;2016.12.01 11:30;0;0;4,2;0;bankkártya
3004;2016.12.15 13:15;300;0,5;5,25;0;készpénz
5640;2016.12.02 2:00;240;1;5,75;3;készpénz
748;2016.12.09 19:45;1620;4,52;17,75;0;készpénz
1010;2016.12.01 2:30;180;0,4;5;0;készpénz
7365;2016.12.23 23:00;240;0,8;5,5;3;bankkártya
6134;2016.12.16 20:00;420;0,8;6;1;bankkártya
4770;2016.12.03 19:15;900;0;14,25;0;készpénz
2059;2016.12.09 10:45;660;1,3;8,25;1,5;bankkártya
1513;2016.12.02 10:15;1020;4,3;14,75;0;készpénz
4635;2016.12.19 15:45;600;1,8;8,25;0;készpénz
2870;2016.12.02 19:30;480;1,1;7;2;bankkártya
6899;2016.12.06 19:00;1063;10,6;28,75;4;bankkártya
3254;2016.12.14 11:45;240;0,6;5;0;készpénz
8040;2016.12.13 17:45;1140;1,3;10,5;1;bankkártya
7531;2016.12.05 18:45;300;0,7;5,75;0;készpénz
8648;2016.12.13 11:15;1020;0;11;1;bankkártya
3237;2016.12.31 0:15;540;2;8,5;0;készpénz
4326;2016.12.07 7:15;540;2;8,5;0;készpénz
6620;2016.12.01 18:45;300;0,8;5,5;2;bankkártya
548;2016.12.16 9:30;360;0;6;0;készpénz
3915;2016.12.20 19:30;540;1,4;7,5;0;készpénz
847;2016.12.14 8:15;660;0,8;7,25;0;készpénz
6950;2016.12.19 9:00;420;1,3;7,25;0;készpénz
3233;2016.12.12 12:00;720;4,1;13,5;2,9;bankkártya
2559;2016.12.29 22:30;540;1,7;8;0;készpénz
2845;2016.12.20 18:15;720;0,41;7;0;készpénz
4611;2016.12.02 19:00;600;0;7,5;0;készpénz
2596;2016.12.29 19:45;360;0,7;5,75;3;bankkártya
3400;2016.12.12 15:00;180;0,7;5;1;bankkártya
610;2016.12.15 22:00;1387;13,72;35;5;bankkártya
700;2016.12.13 13:15;480;0,6;6,25;2;bankkártya
8546;2016.12.13 18:00;540;0;6,25;0;készpénz
7676;2016.12.13 14:15;840;2,6;11;0;készpénz
1164;2016.12.03 14:45;2340;1,1;46,75;5;bankkártya
5795;2016.12.04 16:00;360;0,8;6;0;készpénz
5044;2016.12.10 12:45;1020;13,2;33;5;bankkártya
7968;2016.12.04 0:45;240;1;6;0;készpénz
5896;2016.12.09 8:45;900;3,7;12,75;2;bankkártya
760;2016.12.09 14:30;720;0;19;0;készpénz
